binning,run_number,source_period,target,beam_type,group,energy_low_gev,energy_high_gev,pol1,brem,pol2,pol1_net,pol2_net,total_net,status
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.0233333333333332,1.06,73392865.0,23481.514,83949172.0,73369383.486,83925690.486,157295073.972,valid
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.06,1.0966666666666667,92884462.0,21426.227,91555984.0,92863035.773,91534557.773,184397593.546,valid
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.0966666666666667,1.1333333333333333,104155602.0,26481.261000000002,114368094.0,104129120.739,114341612.739,218470733.478,valid
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.1333333333333333,1.17,107883100.0,18397.034,121077432.0,107864702.966,121059034.966,228923737.932,valid
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.17,1.2066666666666666,120233072.0,21746.088,113999978.0,120211325.912,113978231.912,234189557.824,valid
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.2066666666666666,1.2433333333333332,118071874.0,18802.332000000002,127603916.0,118053071.668,127585113.668,245638185.336,valid
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.2433333333333332,1.28,118279776.0,20704.410000000003,125216836.0,118259071.59,125196131.59,243455203.18,valid
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.28,1.3166666666666667,162455670.0,24053.922,165356302.0,162431616.078,165332248.078,327763864.156,valid
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.3166666666666667,1.3533333333333333,140647032.0,16415.045000000002,151283732.0,140630616.955,151267316.955,291897933.91,valid
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.3533333333333333,1.3900000000000001,150245518.0,16376.092999999999,150680648.0,150229141.907,150664271.907,300893413.814,valid
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.3900000000000001,1.4266666666666667,199484574.0,19090.722,200416394.0,199465483.278,200397303.278,399862786.556,valid
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.4266666666666667,1.4633333333333334,150371702.0,16921.244,162758458.0,150354780.756,162741536.756,313096317.512,valid
ajaka_cross_section,1324,1998_uv,P,UV,P_UV,1.4633333333333334,1.5,106319527.0,20581.842,118770640.0,106298945.158,118750058.158,225049003.316,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,0.95,0.9866666666666666,89620432.0,31522.493000000002,74556172.0,89588909.507,74524649.507,164113559.014,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,0.9866666666666666,1.0233333333333332,99959416.0,33563.991,70943819.0,99925852.009,70910255.009,170836107.018,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.0233333333333332,1.06,90297566.0,26181.675,77686338.0,90271384.325,77660156.325,167931540.65,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.06,1.0966666666666667,98068864.0,22927.258,83564472.0,98045936.742,83541544.742,181587481.484,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.0966666666666667,1.1333333333333333,127515986.0,28080.582,96800392.0,127487905.418,96772311.418,224260216.836,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.1333333333333333,1.17,129400652.0,29212.451999999997,103059422.0,129371439.548,103030209.548,232401649.096,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.17,1.2066666666666666,125060402.0,27668.673000000003,99606722.0,125032733.327,99579053.327,224611786.654,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.2066666666666666,1.2433333333333332,129840338.0,31036.893,102537834.0,129809301.107,102506797.107,232316098.214,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.2433333333333332,1.28,138956610.0,24278.472,103868422.0,138932331.528,103844143.528,242776475.056,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.28,1.3166666666666667,190204010.0,27276.903000000002,148113222.0,190176733.097,148085945.097,338262678.194,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.3166666666666667,1.3533333333333333,168897528.0,20643.837,120321006.0,168876884.163,120300362.163,289177246.326,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.3533333333333333,1.3900000000000001,169502534.0,22224.311,136284830.0,169480309.689,136262605.689,305742915.378,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.3900000000000001,1.4266666666666667,217529702.0,24112.914,164175414.0,217505589.086,164151301.086,381656890.172,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.4266666666666667,1.4633333333333334,167602046.0,20292.299,131664904.0,167581753.701,131644611.701,299226365.402,valid
ajaka_cross_section,1325,1998_uv,P,UV,P_UV,1.4633333333333334,1.5,121933282.0,25249.805,96271012.5,121908032.195,96245762.695,218153794.89,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,0.95,0.9866666666666666,54955931.0,8273.89,56183433.0,54947657.11,56175159.11,111122816.22,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,0.9866666666666666,1.0233333333333332,55565287.0,10048.867,55165374.0,55555238.133,55155325.133,110710563.266,valid
ajaka_cross_section,1326,1998_uv,P,UV,P_UV,1.0233333333333332,1.06,56732341.0,9979.664,55776056.0,56722361.336,55766076.336,112488437.672,valid
