binning,target,beam_type,group,energy_low_gev,energy_high_gev,pol1,brem,pol2,pol1_net,pol2_net,total_net,status
ajaka_cross_section,D,UV,D_UV,0.95,0.9866666666666666,42364691407.656,18409390.403,43330748457.536,42346282017.253,43312339067.133,85658621084.386,valid
ajaka_cross_section,D,UV,D_UV,0.9866666666666666,1.0233333333333332,37503309530.5,16050966.841000002,38377661783.773,37487258563.659,38361610816.932,75848869380.591,valid
ajaka_cross_section,D,UV,D_UV,1.0233333333333332,1.06,44528916081.066986,17683347.120000012,45756317832.873985,44511232733.94698,45738634485.75398,90249867219.70096,valid
ajaka_cross_section,D,UV,D_UV,1.06,1.0966666666666667,51094696891.812,17905708.03199997,51228630112.367,51076791183.78,51210724404.335,102287515588.11499,valid
ajaka_cross_section,D,UV,D_UV,1.0966666666666667,1.1333333333333333,49732179687.875,16914521.190999996,50649084034.446,49715265166.684,50632169513.255,100347434679.939,valid
ajaka_cross_section,D,UV,D_UV,1.1333333333333333,1.17,55020208867.875,16846223.981999993,55845205384.648,55003362643.893,55828359160.666,110831721804.55899,valid
ajaka_cross_section,D,UV,D_UV,1.17,1.2066666666666666,60236336608.375,16555147.397999993,60817196092.117,60219781460.977,60800640944.718994,121020422405.69598,valid
ajaka_cross_section,D,UV,D_UV,1.2066666666666666,1.2433333333333332,63856088154.672005,16140546.47200001,64599853737.052,63839947608.200005,64583713190.58,128423660798.78,valid
ajaka_cross_section,D,UV,D_UV,1.2433333333333332,1.28,69401786793.282,15692518.969000008,70242697254.827,69386094274.313,70227004735.858,139613099010.17102,valid
ajaka_cross_section,D,UV,D_UV,1.28,1.3166666666666667,72897328926.594,14948307.445000002,73780562934.21701,72882380619.14899,73765614626.772,146647995245.921,valid
ajaka_cross_section,D,UV,D_UV,1.3166666666666667,1.3533333333333333,89855308766.252,16559744.965999993,90260043672.80399,89838749021.286,90243483927.83798,180082232949.12396,valid
ajaka_cross_section,D,UV,D_UV,1.3533333333333333,1.3900000000000001,87331646720.563,14126727.263000008,88201668271.148,87317519993.3,88187541543.885,175505061537.185,valid
ajaka_cross_section,D,UV,D_UV,1.3900000000000001,1.4266666666666667,87479482826.438,13474120.735000009,88412047130.186,87466008705.703,88398573009.451,175864581715.154,valid
ajaka_cross_section,D,UV,D_UV,1.4266666666666667,1.4633333333333334,79049322348.376,13533091.398999987,79377469185.156,79035789256.977,79363936093.757,158399725350.734,valid
ajaka_cross_section,D,UV,D_UV,1.4633333333333334,1.5,44839667301.98801,14040121.35399999,44977864792.66899,44825627180.63401,44963824671.314995,89789451851.949,valid
ajaka_cross_section,D,VIS,D_VIS,0.95,0.9866666666666666,67179763819.5,39549006.29300001,69739365353.5,67140214813.207,69699816347.207,136840031160.414,valid
ajaka_cross_section,D,VIS,D_VIS,0.9866666666666666,1.0233333333333332,62423783984.5,31368825.218000002,64587201198.5,62392415159.282,64555832373.282,126948247532.564,valid
ajaka_cross_section,D,VIS,D_VIS,1.0233333333333332,1.06,78239954916.0,35223458.260999985,80372474736.5,78204731457.739,80337251278.239,158541982735.978,valid
ajaka_cross_section,D,VIS,D_VIS,1.06,1.0966666666666667,80128390277.0,34743892.35199999,82555408027.5,80093646384.648,82520664135.148,162614310519.796,valid
ajaka_cross_section,D,VIS,D_VIS,1.0966666666666667,1.1333333333333333,14413703840.548,32889896.197999995,14430645549.098,14380813944.35,14397755652.9,28778569597.25,valid
ajaka_cross_section,D,VIS,D_VIS,1.1333333333333333,1.17,909402720.324,32972731.204000015,930717808.6919999,876429989.12,897745077.4879999,1774175066.6079998,invalid
ajaka_cross_section,D,VIS,D_VIS,1.17,1.2066666666666666,514903137.045,26738134.345999993,522693689.31400007,488165002.699,495955554.96800005,984120557.667,invalid
ajaka_cross_section,D,VIS,D_VIS,1.2066666666666666,1.2433333333333332,378710829.092,27969521.232999988,395492080.059,350741307.859,367522558.82600003,718263866.6850001,invalid
ajaka_cross_section,D,VIS,D_VIS,1.2433333333333332,1.28,370329413.15700006,25346785.27899999,381958295.2620001,344982627.8780001,356611509.9830001,701594137.8610002,invalid
ajaka_cross_section,D,VIS,D_VIS,1.28,1.3166666666666667,386088850.986,25352346.229000006,400887522.7120001,360736504.75699997,375535176.48300004,736271681.24,invalid
ajaka_cross_section,D,VIS,D_VIS,1.3166666666666667,1.3533333333333333,299566201.33300006,24627368.88700001,325587858.6470001,274938832.44600004,300960489.76000005,575899322.2060001,invalid
ajaka_cross_section,D,VIS,D_VIS,1.3533333333333333,1.3900000000000001,337362208.4700001,29753795.88800001,338837253.546,307608412.5820001,309083457.658,616691870.24,invalid
ajaka_cross_section,D,VIS,D_VIS,1.3900000000000001,1.4266666666666667,304212643.314,23276543.21299999,302025172.39,280936100.101,278748629.177,559684729.278,invalid
ajaka_cross_section,D,VIS,D_VIS,1.4266666666666667,1.4633333333333334,291788665.16,27306601.31800003,270181476.418,264482063.842,242874875.09999996,507356938.942,invalid
ajaka_cross_section,D,VIS,D_VIS,1.4633333333333334,1.5,313232010.73,27247960.43999998,310426139.17300004,285984050.29,283178178.73300004,569162229.023,invalid
ajaka_cross_section,P,UV,P_UV,0.95,0.9866666666666666,78533191729.427,369653920.844,78376047005.547,78163537808.58301,78006393084.703,156169930893.286,invalid
ajaka_cross_section,P,UV,P_UV,0.9866666666666666,1.0233333333333332,88304161795.939,351579102.7220006,87701408733.807,87952582693.217,87349829631.085,175302412324.302,invalid
ajaka_cross_section,P,UV,P_UV,1.0233333333333332,1.06,89109808237.42,330979675.48299974,88412365965.937,88778828561.937,88081386290.454,176860214852.391,invalid
ajaka_cross_section,P,UV,P_UV,1.06,1.0966666666666667,88721722605.873,321025676.2290003,87787564810.461,88400696929.644,87466539134.232,175867236063.87598,invalid
ajaka_cross_section,P,UV,P_UV,1.0966666666666667,1.1333333333333333,93722657450.155,305068752.64100033,92202786130.807,93417588697.51399,91897717378.166,185315306075.68,invalid
ajaka_cross_section,P,UV,P_UV,1.1333333333333333,1.17,101157956666.358,300630968.23499995,99145244103.933,100857325698.123,98844613135.698,199701938833.82098,invalid
ajaka_cross_section,P,UV,P_UV,1.17,1.2066666666666666,113666204286.475,313231958.7330005,111442951991.703,113352972327.742,111129720032.97,224482692360.712,invalid
ajaka_cross_section,P,UV,P_UV,1.2066666666666666,1.2433333333333332,123988639271.412,303948760.693,121159090372.67401,123684690510.71901,120855141611.98102,244539832122.7,invalid
ajaka_cross_section,P,UV,P_UV,1.2433333333333332,1.28,134147211329.049,300282873.9819999,130538259950.63899,133846928455.067,130237977076.657,264084905531.724,invalid
ajaka_cross_section,P,UV,P_UV,1.28,1.3166666666666667,131675472494.63899,286652565.19600004,128121373423.31001,131388819929.443,127834720858.11401,259223540787.557,invalid
ajaka_cross_section,P,UV,P_UV,1.3166666666666667,1.3533333333333333,146845434550.331,273825060.0600005,142680332518.78497,146571609490.271,142406507458.72498,288978116948.996,invalid
ajaka_cross_section,P,UV,P_UV,1.3533333333333333,1.3900000000000001,159108518521.97998,264995157.55799994,154404749839.511,158843523364.42197,154139754681.95297,312983278046.37494,invalid
ajaka_cross_section,P,UV,P_UV,1.3900000000000001,1.4266666666666667,174758865980.075,280356096.6000001,169047381123.07098,174478509883.475,168767025026.47098,343245534909.946,invalid
ajaka_cross_section,P,UV,P_UV,1.4266666666666667,1.4633333333333334,164562673872.32202,254070945.26700014,158756731427.495,164308602927.05502,158502660482.228,322811263409.283,invalid
ajaka_cross_section,P,UV,P_UV,1.4633333333333334,1.5,90084965836.524,248904354.2270001,86789128899.191,89836061482.297,86540224544.96399,176376286027.261,invalid
ajaka_cross_section,P,VIS,P_VIS,0.95,0.9866666666666666,98268647163.48,193507515.24799997,99359661534.0,98075139648.232,99166154018.752,197241293666.984,invalid
ajaka_cross_section,P,VIS,P_VIS,0.9866666666666666,1.0233333333333332,102983197089.817,188568668.9820002,104021163880.0,102794628420.835,103832595211.018,206627223631.85303,invalid
ajaka_cross_section,P,VIS,P_VIS,1.0233333333333332,1.06,113423703981.451,178815081.2300001,114786221966.0,113244888900.22101,114607406884.77,227852295784.99103,invalid
ajaka_cross_section,P,VIS,P_VIS,1.06,1.0966666666666667,124139379191.94699,184136528.87700006,125687547947.0,123955242663.06999,125503411418.123,249458654081.193,invalid
ajaka_cross_section,P,VIS,P_VIS,1.0966666666666667,1.1333333333333333,21595150372.264,134785568.76299998,21382085135.927002,21460364803.501,21247299567.164,42707664370.665,invalid
ajaka_cross_section,P,VIS,P_VIS,1.1333333333333333,1.17,1374202128.7910001,168612265.88099998,1392861392.1469998,1205589862.91,1224249126.2659998,2429838989.1759996,invalid
ajaka_cross_section,P,VIS,P_VIS,1.17,1.2066666666666666,826750135.516,143912156.17000002,818318457.337,682837979.346,674406301.167,1357244280.513,invalid
ajaka_cross_section,P,VIS,P_VIS,1.2066666666666666,1.2433333333333332,580288978.063,89381270.31600003,573465155.808,490907707.7469999,484083885.4919999,974991593.2389998,invalid
ajaka_cross_section,P,VIS,P_VIS,1.2433333333333332,1.28,629560206.992,73823481.89900006,630513271.246,555736725.0929999,556689789.347,1112426514.44,invalid
ajaka_cross_section,P,VIS,P_VIS,1.28,1.3166666666666667,627506575.401,113830951.40300004,617222224.302,513675623.99799997,503391272.899,1017066896.897,invalid
ajaka_cross_section,P,VIS,P_VIS,1.3166666666666667,1.3533333333333333,490435417.916,133931335.53699997,511548785.907,356504082.37900007,377617450.37,734121532.7490001,invalid
ajaka_cross_section,P,VIS,P_VIS,1.3533333333333333,1.3900000000000001,472625363.9749999,99536725.73300001,463151552.684,373088638.24199986,363614826.951,736703465.1929998,invalid
ajaka_cross_section,P,VIS,P_VIS,1.3900000000000001,1.4266666666666667,521838754.5569999,90483225.97299999,503365592.51,431355528.58399993,412882366.537,844237895.1209999,invalid
ajaka_cross_section,P,VIS,P_VIS,1.4266666666666667,1.4633333333333334,388920791.54999995,84022949.94600004,388508084.5619999,304897841.6039999,304485134.6159999,609382976.2199998,invalid
ajaka_cross_section,P,VIS,P_VIS,1.4633333333333334,1.5,475979990.39599997,66438374.59000005,467395898.714,409541615.80599993,400957524.12399995,810499139.9299998,invalid
ajaka_sigma,D,UV,D_UV,1.1,1.2,151386807112.625,46482257.06600002,153530254753.664,151340324855.559,153483772496.598,304824097352.157,valid
ajaka_sigma,D,UV,D_UV,1.2,1.3,190476000199.20398,44576890.732,192612463093.425,190431423308.472,192567886202.693,382999309511.165,valid
ajaka_sigma,D,UV,D_UV,1.3,1.4,224562200150.03397,39228645.02799999,226497597251.232,224522971505.00595,226458368606.20398,450981340111.20996,valid
ajaka_sigma,D,UV,D_UV,1.4,1.5,192020416101.92697,38058192.745000035,193179136874.19904,191982357909.18198,193141078681.45404,385123436590.636,valid
ajaka_sigma,D,VIS,D_VIS,1.1,1.2,13716989349.667,86448750.07100002,13649000517.626999,13630540599.596,13562551767.556,27193092367.152,invalid
ajaka_sigma,D,VIS,D_VIS,1.2,1.3,1070719484.3209999,74459048.22300002,1094729155.9549997,996260436.0979998,1020270107.7319996,2016530543.8299994,invalid
ajaka_sigma,D,VIS,D_VIS,1.3,1.4,854084262.975,69165204.30800004,904514494.7480001,784919058.6669999,835349290.44,1620268349.1069999,invalid
ajaka_sigma,D,VIS,D_VIS,1.4,1.5,833432476.6959997,72870001.83599997,797487798.981,760562474.8599998,724617797.145,1485180272.0049996,invalid
ajaka_sigma,P,UV,P_UV,1.1,1.2,278207024689.17896,803054723.2880008,272958700433.982,277403969965.8909,272155645710.694,549559615676.58496,invalid
ajaka_sigma,P,UV,P_UV,1.2,1.3,347021163166.102,814500366.6729997,338309519365.645,346206662799.429,337495018998.97205,683701681798.4011,invalid
ajaka_sigma,P,UV,P_UV,1.3,1.4,414713012921.08997,765586970.587002,402782909866.779,413947425950.503,402017322896.192,815964748846.6951,invalid
ajaka_sigma,P,UV,P_UV,1.4,1.5,384365724079.04297,696316350.135,370952631981.306,383669407728.90796,370256315631.171,753925723360.079,invalid
ajaka_sigma,P,VIS,P_VIS,1.1,1.2,18734293612.086,425983011.1089996,18441627268.944004,18308310600.976997,18015644257.835003,36323954858.812,invalid
ajaka_sigma,P,VIS,P_VIS,1.2,1.3,1703593044.2770002,244003630.98399982,1693927893.2400005,1459589413.2930005,1449924262.2560008,2909513675.549001,invalid
ajaka_sigma,P,VIS,P_VIS,1.3,1.4,1429951273.2050002,307486293.7269999,1405196314.655,1122464979.4780002,1097710020.928,2220175000.406,invalid
ajaka_sigma,P,VIS,P_VIS,1.4,1.5,1209916851.853,220616491.42699993,1202142564.305,989300360.426,981526072.8780001,1970826433.3040001,invalid
