auc,n_estimators,time_s,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma
0.9985161621253494,400,22.2,6,0.2,0.8,0.8,1,0.0
0.9985053089561415,400,22.1,6,0.2,1.0,0.8,5,0.0
0.9984991703665305,400,22.0,6,0.15,0.8,1.0,1,0.0
0.9984702569106968,400,21.8,6,0.2,1.0,0.7,20,0.3
0.9984693353389953,400,22.0,6,0.2,0.8,0.8,20,0.3
0.9984633182524947,400,22.0,6,0.2,0.8,0.7,20,0.0
0.9984585948074942,400,21.9,6,0.2,0.8,1.0,20,0.0
0.9984566782654198,399,22.2,6,0.15,0.7,1.0,1,0.3
0.9984566154372241,399,22.0,6,0.2,0.7,1.0,20,0.1
0.9984537518186326,400,22.4,6,0.15,0.7,0.7,1,0.1
0.9984452626979209,400,22.6,6,0.15,0.7,0.7,5,0.1
0.9984170945766311,396,21.3,5,0.2,0.8,1.0,1,0.1
0.9984139289121969,399,21.3,5,0.2,0.7,1.0,5,0.3
0.9984001753360001,400,21.3,5,0.2,0.7,1.0,5,0.1
0.9983995286872449,398,21.4,5,0.2,0.7,0.8,1,0.1
0.998393695507303,399,21.5,5,0.2,0.7,0.7,1,0.0
0.9983863489702031,400,21.5,5,0.2,0.7,0.7,1,0.1
0.9983844217120925,400,22.1,6,0.1,0.7,1.0,1,0.3
0.9983814367243142,400,21.4,5,0.2,0.8,0.7,5,0.1
0.9983759869767272,400,21.4,5,0.2,0.7,0.7,5,0.3
0.998367301605156,400,22.2,6,0.1,0.8,0.8,1,0.0
0.998358997627715,400,22.2,6,0.1,0.7,0.8,5,0.0
0.998358338503627,400,21.3,5,0.2,0.7,0.8,20,0.0
0.998356159527427,400,22.3,6,0.1,0.7,0.8,1,0.3
0.9983399669497974,400,21.2,5,0.15,0.8,1.0,5,0.0
0.9983396542863986,400,21.0,5,0.15,1.0,0.8,1,0.1
0.9983281972787768,400,21.1,5,0.15,0.8,1.0,5,0.3
0.9983249026479695,400,20.8,5,0.15,1.0,1.0,20,0.1
0.9983222460621349,400,21.9,6,0.1,1.0,0.7,20,0.1
0.9983164847483914,400,21.9,6,0.1,0.7,1.0,20,0.3
0.9983003964309106,400,21.3,5,0.15,0.8,0.8,5,0.3
0.9982987707382597,400,21.3,5,0.15,0.7,0.8,20,0.3
0.9982920756929567,400,21.0,5,0.15,1.0,0.8,20,0.0
0.9982835683050052,400,21.4,5,0.15,0.8,0.7,20,0.0
0.9982057428186899,400,21.2,5,0.1,0.7,1.0,1,0.1
0.9981891899303142,400,21.1,5,0.1,0.7,1.0,1,0.3
0.9981891628540698,400,21.0,5,0.1,1.0,0.8,5,0.0
0.9981886369371891,400,21.3,5,0.1,0.8,0.8,5,0.0
0.9981852074226338,400,20.5,4,0.2,0.8,0.8,1,0.3
0.9981833142888216,400,21.0,5,0.1,1.0,0.7,5,0.1
0.9981811343116979,400,20.2,4,0.2,1.0,0.8,20,0.1
0.9981735836298411,400,20.7,5,0.1,1.0,1.0,20,0.3
0.9981519189614705,400,21.0,5,0.1,0.8,1.0,20,0.0
0.9980890794210675,400,20.5,4,0.15,0.8,0.8,1,0.0
0.9980885916820232,400,20.6,4,0.15,0.7,1.0,5,0.1
0.9980833955197644,400,20.6,4,0.15,0.7,0.8,5,0.0
0.998082881848126,400,21.6,6,0.05,0.7,1.0,1,0.1
0.9980768488543668,400,20.7,4,0.15,0.7,0.7,20,0.3
0.9980764423521459,400,21.8,6,0.05,0.7,1.0,1,0.3
0.9980718288417372,400,20.6,4,0.15,0.7,0.7,5,0.0
0.9980621406351335,400,21.5,6,0.05,0.7,1.0,5,0.0
0.9980607336647487,400,20.5,4,0.15,0.8,0.7,20,0.1
0.9980491779829868,400,20.2,4,0.15,1.0,0.7,20,0.1
0.9980238685785096,400,21.0,6,0.05,1.0,1.0,20,0.1
0.9979423618208279,400,20.3,4,0.1,0.7,1.0,1,0.0
0.9979301595085874,399,20.3,4,0.1,0.7,1.0,5,0.1
0.9979210534583433,400,20.3,4,0.1,0.7,1.0,5,0.3
0.99791020442966,400,20.2,4,0.1,0.8,1.0,20,0.3
0.9979069660079674,400,20.2,4,0.1,0.8,0.8,1,0.1
0.997901963658922,400,20.0,4,0.1,1.0,1.0,1,0.3
0.9978897921021813,400,20.5,4,0.1,0.7,0.8,5,0.3
0.9978862607828274,400,20.7,4,0.1,0.8,0.7,1,0.3
0.9978293834100134,400,21.1,5,0.05,0.8,0.8,1,0.0
0.9978257011217916,400,19.4,3,0.2,1.0,0.8,20,0.3
0.9978133408228189,400,21.2,5,0.05,0.7,0.8,1,0.0
0.9978115865250045,400,20.7,5,0.05,1.0,0.8,5,0.0
0.9977991348964692,400,19.8,3,0.2,0.8,0.7,20,0.1
0.9977859514722041,400,21.8,5,0.05,0.7,0.7,5,0.3
0.9977856144078688,400,21.0,5,0.05,1.0,0.7,20,0.0
0.9977848409732396,400,19.4,3,0.2,1.0,0.7,20,0.0
0.9977786568320501,400,20.6,5,0.05,0.7,1.0,20,0.0
0.9977779945455805,400,21.4,5,0.05,0.7,0.7,20,0.1
0.9977732094253954,400,21.0,5,0.05,1.0,0.7,20,0.3
0.9977719985908236,400,21.0,5,0.05,1.0,0.7,20,0.1
0.9977280580258914,400,19.2,3,0.15,1.0,1.0,1,0.1
0.9976979794552294,400,19.5,3,0.15,0.8,1.0,20,0.1
0.9976947465190936,400,19.7,3,0.15,0.7,1.0,20,0.1
0.9976905531824533,400,19.3,3,0.15,1.0,1.0,20,0.1
0.9976865105205359,397,19.5,3,0.15,0.8,1.0,5,0.3
0.997622803569089,400,19.4,3,0.15,1.0,0.7,20,0.0
0.9974061252863415,400,19.8,4,0.05,0.7,1.0,5,0.1
0.9973946351936953,400,19.4,3,0.1,0.7,1.0,1,0.1
0.9973920824867697,400,19.4,3,0.1,0.7,1.0,20,0.3
0.9973856211260784,400,20.0,4,0.05,1.0,0.7,5,0.1
0.9973787137802703,400,19.3,3,0.1,0.8,1.0,20,0.0
0.9973775402439509,400,19.4,4,0.05,1.0,1.0,5,0.3
0.9973651503192036,399,19.1,3,0.1,1.0,1.0,20,0.1
0.9973644364314493,400,20.1,4,0.05,0.8,0.8,20,0.1
0.9973567228907982,400,19.7,4,0.05,1.0,0.8,20,0.3
0.9973494496222635,400,20.4,4,0.05,0.7,0.7,5,0.1
0.9973385596427894,400,19.6,3,0.1,0.7,0.8,1,0.0
0.9973252069561555,400,19.9,4,0.05,1.0,0.7,20,0.3
0.9965863294271298,400,18.6,3,0.05,0.8,1.0,5,0.1
0.9965393629542629,400,19.5,3,0.05,0.7,0.8,20,0.0
0.9965375164437198,400,18.6,3,0.05,1.0,0.8,5,0.0
0.996502970426772,400,18.9,3,0.05,0.8,0.8,20,0.3
0.9964994734150986,400,19.2,3,0.05,0.7,0.7,1,0.3
0.9964904748845035,400,19.2,3,0.05,0.8,0.7,20,0.3
0.9964895157654979,400,18.9,3,0.05,1.0,0.7,1,0.1
0.9964895157654979,400,18.9,3,0.05,1.0,0.7,1,0.3
