run_number,source_period,target,beam_type,group,classification_source,source_file,quality_status,reason_codes,nonzero_unmapped_strip_count,negative_net_bin_count,brem_reference_sum,brem_period_median,brem_ratio
1377,1998_uv,P,UV,P_UV,manual,1998_uv/run1377.root,good,,0,0,148589.192,256270.619,0.579813607115063
1379,1998_uv,P,UV,P_UV,manual,1998_uv/run1379.root,good,,0,0,241439.871,256270.619,0.9421285668334848
1380,1998_uv,P,UV,P_UV,manual,1998_uv/run1380.root,good,,0,0,202943.116,256270.619,0.7919094151015416
1381,1998_uv,P,UV,P_UV,manual,1998_uv/run1381.root,good,,0,0,182932.769,256270.619,0.7138265389681678
1382,1998_uv,P,UV,P_UV,manual,1998_uv/run1382.root,good,,0,0,125243.987,256270.619,0.48871769806744797
1383,1998_uv,P,UV,P_UV,manual,1998_uv/run1383.root,good,,0,0,312138.085,256270.619,1.2180018381272182
1385,1998_uv,P,UV,P_UV,manual,1998_uv/run1385.root,good,,0,0,246745.767,256270.619,0.9628328364868076
1386,1998_uv,P,UV,P_UV,manual,1998_uv/run1386.root,good,,0,0,161817.9,256270.619,0.6314336798788471
1387,1998_uv,P,UV,P_UV,manual,1998_uv/run1387.root,good,,0,0,214108.886,256270.619,0.8354796458348587
1388,1998_uv,P,UV,P_UV,manual,1998_uv/run1388.root,good,,0,0,43737.362,256270.619,0.17066865554338087
1389,1998_uv,P,UV,P_UV,manual,1998_uv/run1389.root,good,,0,0,370200.958,256270.619,1.4445704288871288
1390,1998_uv,P,UV,P_UV,manual,1998_uv/run1390.root,good,,0,0,246099.525,256270.619,0.9603111193952358
1391,1998_uv,P,UV,P_UV,manual,1998_uv/run1391.root,good,,0,0,228039.264,256270.619,0.889837722677058
1392,1998_uv,P,UV,P_UV,manual,1998_uv/run1392.root,good,,0,0,217503.229,256270.619,0.8487247966572399
1393,1998_uv,P,UV,P_UV,manual,1998_uv/run1393.root,good,,0,0,330610.29600000003,256270.619,1.2900827152565626
1394,1998_uv,P,UV,P_UV,manual,1998_uv/run1394.root,good,,0,0,175147.31,256270.619,0.6834467044386388
1395,1998_uv,P,UV,P_UV,manual,1998_uv/run1395.root,good,,0,0,228800.035,256270.619,0.8928063462475969
1396,1998_uv,P,UV,P_UV,manual,1998_uv/run1396.root,good,,0,0,221976.307,256270.619,0.8661793063371029
1397,1998_uv,P,UV,P_UV,manual,1998_uv/run1397.root,good,,0,0,405634.964,256270.619,1.5828383510479598
1398,1998_uv,P,UV,P_UV,manual,1998_uv/run1398.root,good,,0,0,400536.219,256270.619,1.5629424104992697
1399,1998_uv,P,UV,P_UV,manual,1998_uv/run1399.root,good,,0,0,369969.526,256270.619,1.4436673522843444
1400,1998_uv,P,UV,P_UV,manual,1998_uv/run1400.root,good,,0,0,322997.538,256270.619,1.2603767816239597
1401,1998_uv,P,UV,P_UV,manual,1998_uv/run1401.root,good,,0,0,311751.065,256270.619,1.2164916376933557
1402,1998_uv,P,UV,P_UV,manual,1998_uv/run1402.root,good,,0,0,266877.283,256270.619,1.0413885292094291
1403,1998_uv,P,UV,P_UV,manual,1998_uv/run1403.root,good,,0,0,249731.066,256270.619,0.9744818464733953
1405,1998_uv,P,UV,P_UV,manual,1998_uv/run1405.root,good,,0,0,412976.963,256270.619,1.6114877492062403
1406,1998_uv,P,UV,P_UV,manual,1998_uv/run1406.root,good,,0,0,385343.218,256270.619,1.5036574208298141
1407,1998_uv,P,UV,P_UV,manual,1998_uv/run1407.root,good,,0,0,283487.942,256270.619,1.1062053976620705
1408,1998_uv,P,UV,P_UV,manual,1998_uv/run1408.root,good,,0,0,214681.424,256270.619,0.8377137607023144
1409,1998_uv,P,UV,P_UV,manual,1998_uv/run1409.root,good,,0,0,109959.987,256270.619,0.42907761892127005
1410,1998_uv,P,UV,P_UV,manual,1998_uv/run1410.root,good,,0,0,372003.192,256270.619,1.4516029713105738
1411,1998_uv,P,UV,P_UV,manual,1998_uv/run1411.root,good,,0,0,262995.252,256270.619,1.0262403588294293
1412,1998_uv,P,UV,P_UV,manual,1998_uv/run1412.root,good,,0,0,180719.96300000002,256270.619,0.7051918932618648
1414,1998_uv,P,UV,P_UV,manual,1998_uv/run1414.root,good,,0,0,206077.279,256270.619,0.8041393110304229
1415,1998_uv,P,UV,P_UV,manual,1998_uv/run1415.root,good,,0,0,167896.922,256270.619,0.6551547838576064
1416,1998_uv,P,UV,P_UV,manual,1998_uv/run1416.root,good,,0,0,106641.481,256270.619,0.41612839355572007
1417,1998_uv,P,UV,P_UV,manual,1998_uv/run1417.root,good,,0,0,190524.104,256270.619,0.7434488773759897
1418,1998_uv,P,UV,P_UV,manual,1998_uv/run1418.root,good,,0,0,202062.10499999998,256270.619,0.788471600015919
1419,1998_uv,P,UV,P_UV,manual,1998_uv/run1419.root,good,,0,0,167027.187,256270.619,0.6517609691339606
1420,1998_uv,P,UV,P_UV,manual,1998_uv/run1420.root,good,,0,0,212810.336,256270.619,0.8304125413612085
1421,1998_uv,P,UV,P_UV,manual,1998_uv/run1421.root,good,,0,0,213742.82,256270.619,0.8340512105291321
1422,1998_uv,P,UV,P_UV,manual,1998_uv/run1422.root,good,,0,0,187211.067,256270.619,0.730520992732296
1425,1998_uv,P,UV,P_UV,manual,1998_uv/run1425.root,good,,0,0,5798.273,256270.619,0.02262558627526474
